time(s)	cellId	rnti	lcid	packetSize
8.97417	2	5	3	97
8.99319	2	20	3	252
8.99634	2	1	3	429
8.99656	2	28	3	335
9.07555	2	28	3	335
9.09605	2	16	3	486
9.10924	2	4	3	186
9.12534	2	1	3	429
9.14017	2	5	3	97
9.15456	2	28	3	335
9.23356	2	28	3	335
9.25434	2	1	3	429
9.30617	2	5	3	97
9.31255	2	28	3	335
9.35573	2	24	3	33
9.35899	2	26	3	270
9.3753	2	15	3	139
9.38334	2	1	3	429
9.39156	2	28	3	335
9.40678	2	23	3	52
9.43273	2	22	3	309
9.44783	2	21	3	476
9.47055	2	28	3	335
9.47217	2	5	3	97
9.49066	2	18	3	447
9.51234	2	1	3	429
9.54955	2	28	3	335
9.56941	2	3	3	369
9.62856	2	28	3	335
9.63817	2	5	3	97
9.64134	2	1	3	429
9.70137	2	25	3	473
9.70755	2	28	3	335
9.76002	2	30	3	58
9.77034	2	1	3	429
9.77321	2	17	3	195
9.78655	2	28	3	335
9.80417	2	5	3	97
9.86556	2	28	3	335
9.89934	2	1	3	429
9.94455	2	28	3	335
9.9543	2	15	3	139
9.96553	2	9	3	476
9.97017	2	5	3	97
10.0069	2	11	3	356
10.0236	2	28	3	335
10.0283	2	1	3	429
10.0887	2	22	3	309
10.1026	2	28	3	335
10.1237	2	24	3	33
10.1362	2	5	3	97
10.1573	2	1	3	429
10.1816	2	28	3	335
10.2606	2	28	3	335
10.2863	2	1	3	429
10.3022	2	5	3	97
10.3396	2	28	3	335
10.4138	2	7	3	438
10.4153	2	1	3	429
10.4186	2	28	3	335
10.4682	2	5	3	97
10.4976	2	28	3	335
10.5333	2	15	3	139
10.5443	2	1	3	429
10.5766	2	28	3	335
10.6342	2	5	3	97
10.6556	2	28	3	335
10.6733	2	1	3	429
10.7346	2	28	3	335
10.7442	2	20	3	252
10.7447	2	22	3	309
10.8002	2	5	3	97
10.8023	2	1	3	429
10.8136	2	28	3	335
10.8917	2	24	3	33
10.8926	2	28	3	335
10.9313	2	1	3	429
10.9662	2	5	3	97
10.9716	2	28	3	335
11.0417	2	18	3	447
11.0506	2	28	3	335
11.0603	2	1	3	429
11.1123	2	15	3	139
11.1296	2	28	3	335
11.1322	2	5	3	97
11.1893	2	1	3	429
11.2086	2	28	3	335
11.2705	2	29	3	389
11.2875	2	14	3	333
11.2876	2	28	3	335
11.2879	2	27	3	228
11.2982	2	5	3	97
11.3183	2	1	3	429
11.36	2	30	3	58
11.3666	2	28	3	335
11.3692	2	17	3	195
11.3945	2	2	3	494
11.4007	2	22	3	309
11.4394	2	3	3	369
11.4456	2	28	3	335
11.4473	2	1	3	429
11.4642	2	5	3	97
11.4824	2	19	3	368
11.5003	2	8	3	81
11.5246	2	28	3	335
11.5763	2	1	3	429
11.6036	2	28	3	335
11.6302	2	5	3	97
11.6597	2	24	3	33
11.6826	2	28	3	335
11.6913	2	15	3	139
11.7038	2	23	3	52
11.7053	2	1	3	429
11.7332	2	13	3	286
11.7616	2	28	3	335
11.7962	2	5	3	97
11.8343	2	1	3	429
11.8406	2	28	3	335
11.8808	2	7	3	438
11.9196	2	28	3	335
11.9622	2	5	3	97
11.9633	2	1	3	429
11.9986	2	28	3	335
12.054	2	16	3	486
12.0567	2	22	3	309
12.0776	2	28	3	335
12.0912	2	4	3	186
12.0923	2	1	3	429
12.0934	2	25	3	473
12.1282	2	5	3	97
12.1566	2	28	3	335
12.2213	2	1	3	429
12.2356	2	28	3	335
12.2427	2	12	3	313
12.2703	2	15	3	139
12.2942	2	5	3	97
12.3146	2	28	3	335
12.3503	2	1	3	429
12.392	2	26	3	270
12.3936	2	28	3	335
12.4277	2	24	3	33
12.4602	2	5	3	97
12.4726	2	28	3	335
12.4793	2	1	3	429
12.4952	2	20	3	252
12.5516	2	28	3	335
12.5927	2	18	3	447
12.6083	2	1	3	429
12.6262	2	5	3	97
12.6306	2	28	3	335
12.7096	2	28	3	335
12.7127	2	22	3	309
12.7373	2	1	3	429
12.7886	2	28	3	335
12.7922	2	5	3	97
12.8479	2	10	3	497
12.8493	2	15	3	139
12.8663	2	1	3	429
12.8676	2	28	3	335
12.8931	2	6	3	247
12.9466	2	28	3	335
12.9582	2	5	3	97
12.96	2	30	3	58
12.9652	2	17	3	195
12.9953	2	1	3	429
13.0256	2	28	3	335
13.1046	2	28	3	335
13.1242	2	5	3	97
13.1243	2	1	3	429
13.1836	2	28	3	335
13.1957	2	24	3	33
13.2533	2	1	3	429
13.2626	2	28	3	335
13.2902	2	5	3	97
13.3094	2	3	3	369
13.3416	2	28	3	335
13.3478	2	7	3	438
13.3687	2	22	3	309
13.3823	2	1	3	429
13.4206	2	28	3	335
13.4283	2	15	3	139
13.4562	2	5	3	97
13.4996	2	28	3	335
13.5113	2	1	3	429
13.5786	2	28	3	335
13.6222	2	5	3	97
13.6403	2	1	3	429
13.6576	2	28	3	335
13.7366	2	28	3	335
13.7693	2	1	3	429
13.7882	2	5	3	97
13.8156	2	28	3	335
13.8946	2	28	3	335
13.8983	2	1	3	429
13.9542	2	5	3	97
13.9637	2	24	3	33
13.9736	2	28	3	335
14.0008	2	23	3	52
14.0073	2	15	3	139
14.0247	2	22	3	309
14.0273	2	1	3	429
14.0526	2	28	3	335
14.0605	2	14	3	333
14.0788	2	21	3	476
14.1202	2	5	3	97
14.1316	2	28	3	335
14.1437	2	18	3	447
14.1563	2	1	3	429
14.2106	2	28	3	335
14.2462	2	20	3	252
14.2853	2	1	3	429
