time(s)	cellId	rnti	lcid	packetSize	delay(s)
15.206	2	1	3	429	0.0176896
15.254	2	28	3	335	0.0164736
15.297	2	5	3	97	0.0148586
15.333	2	28	3	335	0.0164736
15.338	2	1	3	429	0.0206896
15.353	2	22	3	309	0.0163026
15.412	2	28	3	335	0.0164736
15.44	2	26	3	270	0.0150356
15.464	2	1	3	429	0.0176896
15.465	2	5	3	97	0.0168586
15.491	2	28	3	335	0.0164736
15.508	2	24	3	33	0.00829956
15.57	2	28	3	335	0.0164736
15.578	2	13	3	286	0.0158596
15.593	2	1	3	429	0.0176896
15.629	2	5	3	97	0.0148586
15.649	2	28	3	335	0.0164736
15.712	2	18	3	447	0.0173656
15.722	2	1	3	429	0.0176896
15.728	2	28	3	335	0.0164736
15.759	2	15	3	139	0.0147256
15.795	2	5	3	97	0.0148586
15.807	2	28	3	335	0.0164736
15.851	2	1	3	429	0.0176896
15.886	2	28	3	335	0.0164736
15.961	2	5	3	97	0.0148586
15.965	2	28	3	335	0.0164736
15.98	2	1	3	429	0.0176896
16.009	2	22	3	309	0.0163026
16.015	2	20	3	252	0.0178436
16.044	2	28	3	335	0.0164736
16.109	2	1	3	429	0.0176896
16.123	2	28	3	335	0.0164736
16.13	2	5	3	97	0.0178586
16.173	2	17	3	195	0.0158176
16.175	2	30	3	58	0.0150086
16.202	2	28	3	335	0.0164736
16.238	2	1	3	429	0.0176896
16.276	2	24	3	33	0.00829956
16.281	2	28	3	335	0.0164736
16.293	2	5	3	97	0.0148586
16.299	2	7	3	438	0.0172376
16.305	2	12	3	313	0.0213546
16.314	2	23	3	52	0.0162486
16.338	2	15	3	139	0.0147256
16.36	2	28	3	335	0.0164736
16.37	2	1	3	429	0.0206896
16.439	2	28	3	335	0.0164736
16.459	2	5	3	97	0.0148586
16.496	2	1	3	429	0.0176896
16.518	2	28	3	335	0.0164736
16.597	2	28	3	335	0.0164736
16.625	2	1	3	429	0.0176896
16.626	2	5	3	97	0.0158586
16.665	2	22	3	309	0.0163026
16.676	2	28	3	335	0.0164736
16.755	2	28	3	335	0.0164736
16.757	2	1	3	429	0.0206896
