time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.345029	2	27	3	127	0.00295714
0.346029	2	27	3	71	0.00295714
0.347029	2	29	3	44	0.00295714
0.348029	2	29	3	127	0.00295714
0.351029	2	5	3	44	0.00295714
0.352029	2	29	3	99	0.00295714
0.353029	2	29	3	113	0.00295714
0.357029	2	5	3	57	0.00295714
0.362029	2	1	3	44	0.00295714
0.368029	2	1	3	127	0.00295714
0.369029	2	1	3	127	0.00295714
0.370029	2	1	3	127	0.00295714
0.371029	2	1	3	14	0.00295714
0.394029	2	28	3	44	0.00295714
0.400029	2	28	3	127	0.00295714
0.401029	2	28	3	127	0.00295714
0.402029	2	28	3	45	0.00295714
0.473029	2	28	3	44	0.00295714
0.479029	2	28	3	127	0.00295714
0.480029	2	28	3	127	0.00295714
0.481029	2	28	3	45	0.00295714
0.491029	2	1	3	44	0.00295714
0.497029	2	1	3	127	0.00295714
0.498029	2	1	3	127	0.00295714
0.499029	2	1	3	127	0.00295714
0.500029	2	1	3	14	0.00295714
0.517029	2	5	3	44	0.00295714
0.523029	2	5	3	57	0.00295714
0.552029	2	28	3	44	0.00295714
0.558029	2	28	3	127	0.00295714
0.559029	2	28	3	127	0.00295714
0.560029	2	28	3	45	0.00295714
0.620029	2	1	3	44	0.00295714
0.626029	2	1	3	127	0.00295714
0.627029	2	1	3	127	0.00295714
0.628029	2	1	3	127	0.00295714
0.629029	2	1	3	14	0.00295714
0.631029	2	28	3	44	0.00295714
0.637029	2	28	3	127	0.00295714
0.638029	2	28	3	127	0.00295714
0.639029	2	28	3	45	0.00295714
0.683029	2	5	3	44	0.00295714
0.689029	2	5	3	57	0.00295714
0.699029	2	15	3	44	0.00295714
0.705029	2	15	3	99	0.00295714
0.710029	2	28	3	44	0.00295714
0.716029	2	28	3	127	0.00295714
0.717029	2	28	3	127	0.00295714
0.718029	2	28	3	45	0.00295714
0.749029	2	1	3	44	0.00295714
0.755029	2	1	3	127	0.00295714
0.756029	2	1	3	127	0.00295714
0.757029	2	1	3	127	0.00295714
0.758029	2	1	3	14	0.00295714
0.789029	2	28	3	44	0.00295714
0.795029	2	28	3	127	0.00295714
0.796029	2	28	3	127	0.00295714
0.797029	2	28	3	45	0.00295714
0.849029	2	5	3	44	0.00295714
0.855029	2	5	3	57	0.00295714
0.868029	2	28	3	44	0.00295714
0.874029	2	28	3	127	0.00295714
0.875029	2	28	3	127	0.00295714
0.876029	2	28	3	45	0.00295714
0.878029	2	1	3	44	0.00295714
0.884029	2	1	3	127	0.00295714
0.885029	2	1	3	127	0.00295714
0.886029	2	1	3	127	0.00295714
0.887029	2	1	3	14	0.00295714
0.913029	2	22	3	44	0.00295714
0.916029	2	24	3	35	0.00295714
0.919029	2	22	3	127	0.00295714
0.920029	2	22	3	127	0.00295714
