time(s)	cellId	rnti	lcid	packetSize
1.51007	2	5	3	44
1.51607	2	5	3	57
1.52007	2	1	3	44
1.52607	2	1	3	127
1.52707	2	1	3	127
1.52807	2	1	3	127
1.52907	2	1	3	14
1.56607	2	22	3	44
1.57207	2	22	3	127
1.57307	2	22	3	127
1.57407	2	22	3	19
1.57607	2	28	3	44
1.58207	2	28	3	127
1.58307	2	28	3	127
1.58407	2	28	3	45
1.61707	2	7	3	44
1.62307	2	7	3	127
1.62407	2	7	3	127
1.62507	2	7	3	127
1.62607	2	7	3	23
1.64907	2	1	3	44
1.65507	2	28	3	44
1.65507	2	1	3	72
1.65607	2	1	3	127
1.65707	2	1	3	127
1.65807	2	1	3	69
1.66107	2	28	3	127
1.66207	2	28	3	127
1.66307	2	28	3	45
1.67607	2	5	3	44
1.68107	2	24	3	35
1.68207	2	5	3	57
1.73407	2	28	3	44
1.74007	2	28	3	127
1.74107	2	28	3	127
1.74207	2	28	3	45
1.74307	2	18	3	44
1.74907	2	18	3	127
1.75007	2	18	3	127
1.75107	2	18	3	127
1.75207	2	18	3	32
1.76607	2	30	3	44
1.77207	2	30	3	18
1.77807	2	1	3	44
1.78407	2	1	3	127
1.78507	2	1	3	127
1.78607	2	1	3	127
1.78707	2	1	3	14
1.79907	2	17	3	44
1.80507	2	17	3	127
1.80607	2	17	3	30
1.81307	2	28	3	44
1.81907	2	28	3	127
1.82007	2	28	3	127
1.82107	2	28	3	45
1.84207	2	5	3	44
1.84807	2	5	3	57
1.85407	2	15	3	44
1.86007	2	15	3	99
1.89207	2	28	3	44
1.89807	2	28	3	127
1.89907	2	28	3	127
1.90007	2	28	3	45
1.90707	2	1	3	44
1.91307	2	1	3	127
1.91407	2	1	3	127
1.91507	2	1	3	127
1.91607	2	1	3	14
1.97107	2	28	3	44
1.97707	2	28	3	127
1.97807	2	28	3	127
1.97907	2	28	3	45
1.99507	2	20	3	44
2.00107	2	20	3	127
2.00207	2	20	3	87
2.00807	2	5	3	44
2.01407	2	5	3	57
2.03607	2	1	3	44
2.04207	2	1	3	127
2.04307	2	1	3	127
2.04407	2	1	3	127
2.04507	2	1	3	14
2.05007	2	28	3	44
2.05607	2	28	3	127
2.05707	2	28	3	127
2.05807	2	28	3	45
2.09507	2	3	3	44
2.10107	2	3	3	127
2.10207	2	3	3	127
2.10307	2	3	3	79
2.12907	2	28	3	44
2.13507	2	28	3	127
2.13607	2	28	3	127
2.13707	2	28	3	45
2.16507	2	1	3	44
2.17107	2	1	3	127
2.17207	2	1	3	127
2.17307	2	1	3	127
2.17407	2	1	3	14
2.17507	2	5	3	44
2.18107	2	5	3	57
2.20807	2	28	3	44
2.21407	2	28	3	127
2.21507	2	28	3	127
2.21607	2	28	3	45
2.22207	2	22	3	44
2.22807	2	22	3	127
2.22907	2	22	3	127
2.23007	2	22	3	19
2.28707	2	28	3	44
2.29307	2	28	3	127
2.29407	2	28	3	127
2.29507	2	28	3	45
2.29607	2	1	3	44
2.30207	2	1	3	127
2.30307	2	1	3	127
2.30407	2	1	3	127
2.30507	2	1	3	14
2.34007	2	5	3	44
2.34607	2	5	3	57
2.36607	2	28	3	44
2.37207	2	28	3	127
2.37307	2	28	3	127
2.37407	2	28	3	45
2.42307	2	1	3	44
2.42907	2	1	3	127
2.43007	2	1	3	127
2.43107	2	1	3	127
2.43207	2	1	3	14
2.43307	2	15	3	44
2.43907	2	15	3	99
2.44507	2	28	3	44
2.44907	2	24	3	35
2.45107	2	28	3	127
2.45207	2	28	3	127
2.45307	2	28	3	45
2.50607	2	5	3	44
2.51207	2	5	3	57
2.52107	2	23	3	44
2.52407	2	28	3	44
2.52707	2	23	3	12
2.53007	2	28	3	127
2.53107	2	28	3	127
2.53207	2	28	3	45
2.53307	2	25	3	44
2.53907	2	25	3	127
2.54007	2	25	3	127
2.54107	2	25	3	127
2.54207	2	25	3	58
2.55207	2	1	3	44
2.55807	2	1	3	127
2.55907	2	1	3	127
2.56007	2	1	3	127
2.56107	2	1	3	14
2.60307	2	28	3	44
2.60907	2	28	3	127
2.61007	2	28	3	127
2.61107	2	28	3	45
2.67207	2	5	3	44
2.67807	2	5	3	57
2.68107	2	1	3	44
2.68207	2	28	3	44
2.68707	2	1	3	127
2.68807	2	28	3	127
2.68907	2	28	3	127
2.69007	2	28	3	45
2.69107	2	1	3	99
2.69207	2	1	3	127
2.69307	2	1	3	42
2.76107	2	28	3	44
2.76707	2	28	3	127
2.76807	2	28	3	127
2.76907	2	28	3	45
2.81007	2	1	3	44
2.81607	2	1	3	127
2.81707	2	1	3	127
2.81807	2	1	3	127
2.81907	2	1	3	14
2.83807	2	5	3	44
2.84007	2	28	3	44
2.84407	2	5	3	57
2.84607	2	28	3	127
2.84707	2	28	3	127
2.84807	2	28	3	45
2.87807	2	22	3	44
2.88407	2	22	3	127
2.88507	2	22	3	127
2.88607	2	22	3	19
2.91907	2	28	3	44
2.92507	2	28	3	127
2.92607	2	28	3	127
2.92707	2	28	3	45
2.93907	2	1	3	44
2.94507	2	1	3	127
2.94607	2	1	3	127
2.94707	2	1	3	127
2.94807	2	1	3	14
2.97407	2	14	3	44
2.98007	2	14	3	127
2.98107	2	14	3	127
2.98207	2	14	3	43
2.98707	2	8	3	44
2.99307	2	8	3	41
2.99807	2	28	3	44
3.00407	2	28	3	127
3.00507	2	28	3	127
3.00607	2	28	3	45
3.00707	2	5	3	44
3.01207	2	15	3	44
3.01307	2	5	3	57
3.01807	2	15	3	99
3.05207	2	19	3	44
3.05807	2	19	3	127
3.05907	2	19	3	127
3.06007	2	19	3	78
3.06807	2	1	3	44
3.07407	2	1	3	127
3.07507	2	1	3	127
3.07607	2	1	3	127
3.07707	2	28	3	44
3.07707	2	1	3	14
3.08307	2	28	3	127
3.08407	2	28	3	127
3.08507	2	28	3	45
3.08607	2	7	3	44
3.09207	2	7	3	127
3.09307	2	7	3	127
3.09407	2	7	3	127
3.09507	2	7	3	23
3.15107	2	4	3	44
3.15607	2	28	3	44
3.15707	2	4	3	127
3.15807	2	4	3	21
3.16207	2	28	3	127
3.16307	2	28	3	127
3.16407	2	28	3	45
3.17007	2	5	3	44
3.17607	2	5	3	57
3.18607	2	16	3	44
3.19207	2	16	3	127
3.19307	2	16	3	127
3.19407	2	16	3	127
3.19507	2	16	3	71
3.19707	2	1	3	44
3.20307	2	1	3	127
3.20407	2	1	3	127
3.20507	2	1	3	127
3.20607	2	1	3	14
3.21707	2	24	3	35
3.23507	2	28	3	44
3.24107	2	28	3	127
3.24207	2	28	3	127
3.24307	2	28	3	45
3.29207	2	18	3	44
3.29807	2	18	3	127
3.29907	2	18	3	127
3.30007	2	18	3	127
3.30107	2	18	3	32
3.30207	2	26	3	44
3.30807	2	26	3	127
3.30907	2	26	3	105
3.31407	2	28	3	44
3.32007	2	28	3	127
3.32107	2	28	3	127
3.32207	2	28	3	45
3.32707	2	1	3	44
3.33307	2	1	3	127
3.33407	2	1	3	127
3.33507	2	1	3	127
3.33607	2	1	3	14
3.33707	2	5	3	44
3.34307	2	5	3	57
3.36607	2	30	3	44
3.37207	2	30	3	18
3.39307	2	28	3	44
3.39507	2	17	3	44
3.39907	2	28	3	127
3.40007	2	28	3	127
3.40107	2	28	3	45
3.40207	2	17	3	99
3.40307	2	17	3	58
3.45507	2	1	3	44
3.46107	2	1	3	127
3.46207	2	1	3	127
3.46307	2	1	3	127
3.46407	2	1	3	14
3.47207	2	28	3	44
3.47807	2	28	3	127
3.47907	2	28	3	127
3.48007	2	28	3	45
3.50207	2	5	3	44
3.50807	2	5	3	57
3.53407	2	22	3	44
3.54007	2	22	3	127
3.54107	2	22	3	127
3.54207	2	22	3	19
3.55107	2	28	3	44
3.55707	2	28	3	127
3.55807	2	28	3	127
3.55907	2	28	3	45
3.58407	2	1	3	44
3.59007	2	1	3	127
3.59107	2	1	3	127
3.59207	2	1	3	127
3.59307	2	1	3	14
3.59407	2	15	3	44
3.60007	2	15	3	99
3.63007	2	28	3	44
3.63607	2	28	3	127
3.63707	2	28	3	127
3.63807	2	28	3	45
3.66807	2	5	3	44
3.67407	2	5	3	57
3.70907	2	28	3	44
3.71307	2	1	3	44
3.71507	2	28	3	127
3.71607	2	28	3	127
3.71707	2	28	3	45
3.71907	2	1	3	127
3.72007	2	1	3	127
3.72207	2	1	3	44
3.72307	2	1	3	97
3.74607	2	20	3	44
3.75207	2	20	3	127
3.75307	2	20	3	87
3.78807	2	28	3	44
3.79407	2	28	3	127
3.79507	2	28	3	127
3.79607	2	28	3	45
3.83407	2	5	3	44
3.84007	2	5	3	57
3.84207	2	1	3	44
3.84807	2	1	3	127
3.84907	2	1	3	127
3.85007	2	1	3	127
3.85107	2	1	3	14
3.86407	2	29	3	44
3.86707	2	28	3	44
3.87007	2	29	3	127
3.87107	2	29	3	127
3.87207	2	29	3	99
3.87307	2	28	3	127
3.87407	2	28	3	127
3.87507	2	28	3	45
3.93707	2	27	3	44
3.93807	2	2	3	44
3.94307	2	27	3	127
3.94407	2	2	3	127
3.94507	2	2	3	127
3.94607	2	2	3	72
3.94607	2	28	3	44
3.94707	2	2	3	127
3.94807	2	2	3	9
3.94807	2	27	3	16
3.94907	2	27	3	49
3.95207	2	28	3	127
3.95307	2	28	3	127
3.95407	2	28	3	45
3.96507	2	3	3	44
3.97107	2	3	3	72
3.97107	2	1	3	44
3.97207	2	3	3	127
3.97307	2	3	3	127
3.97407	2	3	3	9
3.97707	2	1	3	127
3.97807	2	1	3	127
3.97907	2	1	3	127
3.98007	2	1	3	14
3.98507	2	24	3	35
4.00007	2	5	3	44
4.00607	2	5	3	57
4.02507	2	28	3	44
4.03107	2	28	3	127
4.03207	2	28	3	127
4.03307	2	28	3	45
4.08107	2	13	3	44
4.08707	2	13	3	127
4.08807	2	13	3	121
4.10007	2	1	3	44
4.10407	2	28	3	44
4.10607	2	1	3	127
4.10707	2	1	3	127
4.10807	2	1	3	127
4.10907	2	1	3	14
4.11007	2	28	3	127
4.11107	2	28	3	127
4.11207	2	28	3	45
4.16607	2	12	3	44
4.16607	2	5	3	44
4.17007	2	15	3	44
4.17207	2	12	3	16
